CitizenKey,SyntheticCitizenID,SyntheticName,Country,Age,Phone,Email,AddressLine,City,Postcode,Notes,HasCriminalRecord,RecordType,RecordStatus,Severity,OfficerReviewRequired,HasOutstandingFines,UnpaidFineCount,TotalUnpaidAmount
1,MY3080592042,Nadia Rahman,Malaysia,25,+60059650502,user1@demo.local,571 Demo Street,Kota Kinabalu,14555,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,52
2,VN5635002643,Hafiz Omar,Vietnam,22,+84321703434,user2@demo.local,624 Demo Street,Hanoi,14714,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
3,VN0578334700,Nga Yusof,Vietnam,58,+84607356478,user3@demo.local,356 Demo Street,Hanoi,93642,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Minor Traffic Offense,Closed,Low,FALSE,FALSE,0,0
4,MY7394142145,Hao Rahman,Malaysia,24,+60963201608,user4@demo.local,187 Demo Street,Da Nang,21563,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Drug Offense (Minor),Closed,High,TRUE,TRUE,2,336
5,VN8967489653,Aina Pham,Vietnam,60,+84441941615,user5@demo.local,550 Demo Street,Hanoi,96023,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,65
6,MY6414943177,Farah Vu,Malaysia,38,+60529369726,user6@demo.local,94 Demo Street,Johor Bahru,85932,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,73
7,MY2898887253,Anh Nguyen,Malaysia,56,+60741638739,user7@demo.local,83 Demo Street,HCMC,14349,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
8,VN9368137184,Wei Ahmad,Vietnam,46,+84097470190,user8@demo.local,605 Demo Street,Penang,81896,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,2,119
9,MY5109659488,Kiet Nguyen,Malaysia,25,+60222524193,user9@demo.local,470 Demo Street,Johor Bahru,59495,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
10,VN5876711610,Jia Zainal,Vietnam,49,+84547801004,user10@demo.local,29 Demo Street,Kota Kinabalu,80396,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
11,VN2585258998,Kiet Omar,Vietnam,60,+84114020678,user11@demo.local,159 Demo Street,Johor Bahru,63214,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
12,VN8162794430,Nur Nguyen,Vietnam,41,+84347352919,user12@demo.local,235 Demo Street,Hanoi,02917,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,3,401
13,MY9821957006,Haziq Le,Malaysia,70,+60200262210,user13@demo.local,567 Demo Street,Penang,92152,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
14,VN2196524628,Nga Tran,Vietnam,26,+84075149184,user14@demo.local,507 Demo Street,KL,83569,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
15,MY8764301072,Tuan Tran,Malaysia,28,+60088622241,user15@demo.local,457 Demo Street,Hanoi,29952,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
16,MY3034525020,Aina Wong,Malaysia,29,+60003255767,user16@demo.local,901 Demo Street,KL,33917,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
17,VN8754759758,Anh Wong,Vietnam,18,+84779600693,user17@demo.local,463 Demo Street,KL,00522,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
18,MY0980574882,Arjun Vo,Malaysia,67,+60264809206,user18@demo.local,204 Demo Street,Hanoi,53666,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
19,VN4490247247,Nadia Vo,Vietnam,16,+84304205993,user19@demo.local,939 Demo Street,HCMC,00723,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,2,336
20,MY1348319647,Haziq Hassan,Malaysia,72,+60313333910,user20@demo.local,758 Demo Street,Da Nang,20380,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
21,MY2018292251,Nur Rahman,Malaysia,64,+60886995707,user21@demo.local,462 Demo Street,KL,76209,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,3,460
22,VN4327926353,Tuan Vu,Vietnam,26,+84058543745,user22@demo.local,250 Demo Street,Hanoi,15338,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,183
23,VN0837227453,Jia Zainal,Vietnam,72,+84578083643,user23@demo.local,834 Demo Street,Kota Kinabalu,91478,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
24,MY0995447219,Linh Omar,Malaysia,16,+60070150796,user24@demo.local,541 Demo Street,Johor Bahru,47039,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
25,VN2705923825,Nadia Lim,Vietnam,40,+84046018602,user25@demo.local,435 Demo Street,Da Nang,20346,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Minor Traffic Offense,Pending Court,Low,TRUE,FALSE,0,0
26,VN7752938227,Phuc Pham,Vietnam,16,+84941246913,user26@demo.local,219 Demo Street,Hanoi,91003,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Drug Offense (Minor),Under Review,High,TRUE,TRUE,3,713
27,MY1011654378,Siti Omar,Malaysia,62,+60102391923,user27@demo.local,842 Demo Street,Da Nang,84043,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
28,MY3746264348,Minh Tan,Malaysia,28,+60106339076,user28@demo.local,947 Demo Street,Da Nang,27589,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
29,VN8174779814,Anh Lee,Vietnam,17,+84876333701,user29@demo.local,771 Demo Street,HCMC,20053,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,79
30,MY1062499114,Jia Lim,Malaysia,72,+60786182537,user30@demo.local,204 Demo Street,Penang,22185,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Minor Traffic Offense,Pending Court,Low,TRUE,TRUE,1,96
31,MY3952869148,Aiman Hassan,Malaysia,20,+60021195938,user31@demo.local,460 Demo Street,KL,27915,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Fraud (Minor),Pending Court,Medium,TRUE,FALSE,0,0
32,MY0309079884,Nur Vu,Malaysia,29,+60600444761,user32@demo.local,547 Demo Street,Hanoi,63296,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,3,217
33,MY3534893172,Anh Rahman,Malaysia,19,+60948484105,user33@demo.local,657 Demo Street,Kota Kinabalu,90635,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
34,VN2591489119,Farah Ahmad,Vietnam,38,+84093968172,user34@demo.local,415 Demo Street,KL,88123,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,2,298
35,VN3198188663,Aina Kaur,Vietnam,40,+84487632335,user35@demo.local,184 Demo Street,Hanoi,09446,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
36,MY1411404506,Huy Ahmad,Malaysia,69,+60750539189,user36@demo.local,750 Demo Street,Johor Bahru,81949,SYNTHETIC DATA FOR DEMO ONLY,TRUE,Administrative Violation,Pending Court,Low,TRUE,FALSE,0,0
37,VN7903718281,Amir Yusof,Vietnam,59,+84225301196,user37@demo.local,917 Demo Street,Penang,17156,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
38,MY4568258733,Nur Wong,Malaysia,71,+60130269253,user38@demo.local,990 Demo Street,Kota Kinabalu,56300,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,3,304
39,VN6458126003,Linh Zainal,Vietnam,34,+84325526419,user39@demo.local,250 Demo Street,Johor Bahru,10687,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,168
40,MY2065364972,Anh Tran,Malaysia,67,+60001191661,user40@demo.local,424 Demo Street,HCMC,56646,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,3,429
41,MY3087708747,Aiman Vu,Malaysia,20,+60212037687,user41@demo.local,273 Demo Street,Johor Bahru,54752,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,TRUE,1,266
42,VN8022797383,Duy Ismail,Vietnam,21,+84966694868,user42@demo.local,448 Demo Street,Johor Bahru,28735,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
43,VN0161970160,Huy Tran,Vietnam,25,+84053888089,user43@demo.local,967 Demo Street,Penang,12108,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
44,VN7641762323,Phuc Tran,Vietnam,68,+84733958604,user44@demo.local,447 Demo Street,KL,73752,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
45,VN8102790447,Tuan Yusof,Vietnam,52,+84595518921,user45@demo.local,962 Demo Street,Johor Bahru,74951,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
46,MY0987463345,Tuan Ismail,Malaysia,38,+60969156605,user46@demo.local,535 Demo Street,HCMC,84534,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
47,MY2366527867,Duy Ahmad,Malaysia,53,+60632929916,user47@demo.local,201 Demo Street,Penang,11322,SYNTHETIC DATA FOR DEMO ONLY,FALSE,None,None,None,FALSE,FALSE,0,0
